snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1589243404,0,180,50.95487,0.93590,3852,1,0000
1589243420,0,216,50.95464,0.93582,3852,5,0000
1589243428,0,206,50.95445,0.93559,3852,2,0000
1589243456,0,225,50.95422,0.93540,3852,4,7000
1589243484,0,225,50.95399,0.93517,3852,4,7000
1589243492,0,210,50.95377,0.93495,3852,5,7000
1589243526,0,198,50.95354,0.93473,3852,3,7000
1589243544,0,206,50.95340,0.93451,3852,2,7000
1589243558,0,194,50.95312,0.93436,3852,4,7000
1589243574,0,180,50.95290,0.93436,3852,2,7000
1589243600,0,153,50.95267,0.93451,3852,2,7000
1589243616,0,146,50.95240,0.93460,3852,3,7000
1589243632,0,180,50.95217,0.93475,3852,0,7000
1589243646,0,201,50.95193,0.93475,3852,5,7000
1589243652,0,218,50.95180,0.93453,3852,6,7000
1589243692,0,33,50.95180,0.93473,3852,3,7000
1589243698,0,32,50.95203,0.93488,3852,16,7000
1589243704,0,28,50.95240,0.93521,3852,12,7000
1589243710,0,26,50.95263,0.93544,3852,4,7000
1589243716,0,90,50.95175,0.93468,3852,2,7000
1589243742,0,206,50.95157,0.93437,3852,2,7000
1589243764,0,30,50.95166,0.93460,3852,5,7000
1589243926,0,30,50.95189,0.93483,3852,13,7000
1589243932,0,34,50.95263,0.93552,3852,42,7000
1589243938,0,40,50.95375,0.93689,3852,47,7000
1589243944,50,42,50.95464,0.93819,3852,41,7000
1589243950,100,48,50.95564,0.93978,3852,50,7000
1589243956,150,57,50.95660,0.94156,3852,49,7000
1589243962,150,84,50.95706,0.94383,3852,53,7000
1589243982,300,212,50.95267,0.94750,3852,68,7000
1589243990,350,259,50.95161,0.94482,3852,58,7000
1589243996,375,287,50.95175,0.94254,3852,49,7000
1589244002,425,317,50.95248,0.94082,3852,41,7000
1589244008,475,341,50.95338,0.93994,3852,40,7000
1589244014,500,1,50.95450,0.93964,3852,38,7000
1589244020,550,25,50.95547,0.94002,3852,37,7000
1589244026,600,47,50.95642,0.94119,3852,38,7000
1589244032,625,70,50.95692,0.94261,3852,42,7000
1589244056,625,209,50.95290,0.94764,3852,72,7000
1589244062,625,250,50.95180,0.94544,3852,64,7000
1589244068,625,286,50.95175,0.94252,3852,55,7000
1589244074,625,321,50.95259,0.94063,3852,44,7000
1589244080,625,345,50.95366,0.93979,3852,40,7000
1589244086,625,8,50.95482,0.93971,3852,39,7000
1589244092,625,29,50.95578,0.94030,3852,38,7000
1589244099,625,57,50.95664,0.94162,3852,40,7000
1589244108,625,93,50.95706,0.94445,3852,47,7000
1589244114,625,127,50.95651,0.94661,3852,56,7000
1589244120,625,162,50.95514,0.94809,3852,66,7000
1589244126,625,200,50.95322,0.94787,3852,72,7000
1589244133,600,248,50.95180,0.94551,3852,66,7000
1589244156,625,1,50.95450,0.93964,3852,40,7000
1589244162,625,29,50.95575,0.94025,3852,38,7000
1589244168,625,55,50.95655,0.94139,3852,38,7000
1589244174,625,77,50.95701,0.94307,3852,42,7000
1589244182,625,104,50.95696,0.94513,3852,49,7000
1589244188,625,138,50.95615,0.94720,3852,58,7000
1589244194,625,175,50.95445,0.94831,3852,69,7000
1589244215,625,312,50.95231,0.94101,3852,48,7000
1589244221,625,340,50.95338,0.93994,3852,42,7000
1589244228,625,2,50.95450,0.93971,3852,40,7000
1589244234,625,24,50.95561,0.94017,3852,38,7000
1589244240,625,50,50.95645,0.94116,3852,39,7000
1589244246,625,74,50.95697,0.94267,3852,41,7000
1589244270,650,168,50.95310,0.94871,3852,65,7000
1589244276,700,166,50.95147,0.94933,3852,64,7000
1589244284,750,166,50.94878,0.95039,3852,65,7000
1589244290,800,166,50.94699,0.95106,3852,65,7000
1589244296,825,166,50.94500,0.95184,3852,64,7000
1589244302,825,151,50.94328,0.95268,3852,61,7000
1589244310,825,127,50.94221,0.95429,3852,52,7000
1589244316,825,127,50.94132,0.95619,3852,52,7000
1589244322,825,128,50.94031,0.95819,3852,54,7000
1589244328,825,128,50.93935,0.96012,3852,54,7000
1589244334,825,129,50.93834,0.96207,3852,55,7000
1589244340,825,129,50.93732,0.96405,3852,55,7000
1589244346,825,129,50.93634,0.96596,3852,55,7000
1589244352,825,129,50.93536,0.96786,3852,55,7000
1589244358,850,128,50.93439,0.96977,3852,54,7000
1589244364,825,128,50.93341,0.97168,3852,54,7000
1589244370,825,128,50.93248,0.97351,3852,54,7000
1589244376,825,128,50.93154,0.97534,3852,54,7000
1589244388,1625,129,50.92969,0.97897,3852,55,7000
1589244394,825,135,50.92850,0.98105,3852,54,7000
1589244400,1625,136,50.92799,0.98246,3852,55,7000
1589244416,825,135,50.92461,0.98701,3852,55,7000
1589244422,825,137,50.92345,0.98869,3852,55,7000
1589244428,825,136,50.92233,0.99045,3852,55,7000
1589244434,825,136,50.92121,0.99205,3852,53,7000
1589244440,825,136,50.92003,0.99389,3852,55,7000
1589244446,825,136,50.91888,0.99560,3852,56,7000
1589244452,825,136,50.91783,0.99716,3852,58,7000
1589244458,825,135,50.91650,0.99924,3852,57,7000
1589244464,825,135,50.91531,1.00094,3852,55,7000
1589244470,825,135,50.91426,1.00265,3852,55,7000
1589244476,850,137,50.91312,1.00436,3852,55,7000
1589244482,825,135,50.91211,1.00584,3852,57,7000
1589244488,850,135,50.91074,1.00792,3852,61,7000
1589244494,825,137,50.90939,1.00998,3852,57,7000
1589244500,850,138,50.90813,1.01173,3852,58,7000
1589244506,825,126,50.90697,1.01357,3852,55,7000
1589244512,850,105,50.90650,1.01524,3852,51,7000
1589244518,825,104,50.90602,1.01802,3852,50,1177
1589244524,825,108,50.90566,1.01990,3852,45,1177
1589244530,825,106,50.90529,1.02188,3852,44,1177
1589244540,825,104,50.90473,1.02463,3852,45,1177
1589244546,850,105,50.90437,1.02693,3852,49,1177
1589244552,850,105,50.90399,1.02882,3852,47,1177
1589244558,825,106,50.90360,1.03108,3852,50,1177
1589244564,825,114,50.90314,1.03316,3852,48,1177
1589244570,825,104,50.90263,1.03516,3852,46,1177
1589244576,850,107,50.90231,1.03724,3852,47,1177
1589244582,850,120,50.90167,1.03940,3852,55,1177
1589244590,850,132,50.90064,1.04157,3852,60,1177
1589244596,825,142,50.89933,1.04347,3852,62,1177
1589244602,825,153,50.89780,1.04492,3852,63,1177
1589244608,825,167,50.89607,1.04591,3852,66,1177
1589244614,825,178,50.89421,1.04629,3852,69,1177
1589244620,825,190,50.89221,1.04607,3852,73,1177
1589244626,825,203,50.89035,1.04507,3852,73,1177
1589244632,825,215,50.88853,1.04347,3852,71,1177
1589244644,850,229,50.88579,1.03888,3852,72,1177
1589244650,825,228,50.88446,1.03650,3852,70,1177
1589244657,825,228,50.88304,1.03386,3852,71,1177
1589244665,825,229,50.88108,1.03027,3852,75,1177
1589244672,850,228,50.87969,1.02768,3852,75,1177
1589244680,850,230,50.87778,1.02418,3852,71,1177
1589244692,825,230,50.87526,1.01950,3852,71,1177
1589244698,825,229,50.87370,1.01668,3852,73,1177
1589244704,825,228,50.87233,1.01416,3852,71,1177
1589244711,825,229,50.87105,1.01186,3852,70,1177
1589244722,825,229,50.86839,1.00703,3852,72,1177
1589244728,825,228,50.86716,1.00472,3852,73,1177
1589244734,825,228,50.86569,1.00198,3852,71,1177
1589244740,825,229,50.86446,0.99983,3852,73,1177
1589244746,850,230,50.86298,0.99701,3852,71,1177
1589244752,825,228,50.86167,0.99464,3852,69,1177
1589244758,825,228,50.86043,0.99241,3852,71,1177
1589244764,825,228,50.85911,0.98991,3852,71,1177
1589244770,825,228,50.85786,0.98766,3852,73,1177
